epoch,train_loss,eval_loss,eval_top1
0,4.608912019204544,4.602789450836181,1.26
1,4.498333305769174,4.276588967895508,6.53
2,4.338015738888983,4.011653324890137,9.12
3,4.211013129670245,3.8180821521759034,12.19
4,4.1059469239507225,3.6550157569885253,14.38
5,4.000068003938995,3.481093930053711,17.76
6,3.8908573555427384,3.296997303390503,21.3
7,3.790478354684827,3.2243616382598876,22.27
8,3.704829696503858,3.0376508220672607,25.57
9,3.623588990615669,2.9400023307800294,27.09
10,3.5428386601534756,2.807050238800049,30.23
11,3.480390284949778,2.7558160781860352,30.45
12,3.4173743181436222,2.6415333095550535,33.44
13,3.3645693974977267,2.629214632034302,33.6
14,3.3220348193306624,2.4872923248291015,37.12
15,3.2799873684798864,2.458679206085205,37.6
16,3.231638823214933,2.3992667289733887,38.04
17,3.204850011842657,2.383923457336426,38.84
18,3.1690553574800187,2.37093514213562,38.85
19,3.1368752704234497,2.2899651737213134,41.15
20,3.1044557811966627,2.3308367477416994,40.89
21,3.0898339955968526,2.2239521560668947,42.65
22,3.0640428041831784,2.1782580081939695,43.86
23,3.0339285542809247,2.161839551925659,44.28
24,3.0158547271381724,2.0934812145233153,46.0
25,2.9919690237155185,2.103516876411438,45.02
26,2.9722000462755505,2.085792504119873,45.32
27,2.9493735596709305,2.0660119747161865,45.96
28,2.935999572048114,1.9954337705612182,48.06
29,2.920138166136992,2.023831382369995,47.39
30,2.906152939521702,2.001567599487305,47.68
31,2.883129670281111,1.9635963199615478,48.65
32,2.8730881122559806,1.92213229637146,49.44
33,2.8565785036196933,1.9523206590652467,48.21
34,2.847893473128198,1.8983764965057373,50.1
35,2.8236951403672808,1.9102220092773436,49.64
36,2.8117243074424443,1.8924862268447875,49.73
37,2.8067436007623026,1.8470634809494018,51.28
38,2.796755035158614,1.8175135669708251,52.05
39,2.7839519083118316,1.8268093957901002,51.98
40,2.7793168505694283,1.862889726638794,51.39
41,2.7602694843551108,1.820455926322937,51.85
42,2.7545723881520017,1.8258504793167114,51.47
43,2.742109802407278,1.8207902923583985,51.83
44,2.7369630715300577,1.810648485183716,52.02
45,2.736182301664169,1.7753524459838868,52.83
46,2.709363213269262,1.760429695892334,53.19
47,2.7135227904887573,1.7344923749923706,53.84
48,2.705530978958677,1.7385208255767823,53.68
49,2.6931409637387675,1.761652293586731,53.34
50,2.689745956437994,1.7417152097702027,53.81
51,2.672475196030015,1.7127008600234985,54.02
52,2.676447299927969,1.7296161855697632,53.96
53,2.668270150769535,1.6997844303131104,54.64
54,2.6532354867717824,1.6897402324676514,54.93
55,2.654279677113864,1.7158256406784058,54.83
56,2.6493803087178325,1.6683164442062377,55.48
57,2.6382571582452283,1.6742009782791138,55.15
58,2.6395358840878886,1.6742383935928344,55.53
59,2.6282383235560185,1.6590025451660155,55.59
60,2.6139360750225227,1.6513344968795776,55.88
61,2.6163459565972245,1.671438290786743,55.73
62,2.612680741369953,1.6480237096786499,56.02
63,2.60796422567624,1.639851904296875,56.95
64,2.6043656904169294,1.6498145153045654,56.09
65,2.597961953293804,1.6193184032440187,56.92
66,2.5869028510265863,1.6207282154083251,56.53
67,2.5893238637877793,1.631657291984558,56.13
68,2.576360036102666,1.6472661205291748,56.0
69,2.5771442219786698,1.6464548709869384,56.09
70,2.5748942588263986,1.5921314123153687,57.65
71,2.569818978730909,1.582727321434021,57.75
72,2.5657618671617497,1.5734848262786865,57.88
73,2.5573536594149093,1.6435029666900636,55.95
74,2.557400176833442,1.581505954360962,57.91
75,2.5534148752002497,1.6048209012985228,56.82
76,2.557254933517202,1.5911785249710082,57.37
77,2.549835078084362,1.5675072574615478,58.04
78,2.5409387797308027,1.5821659013748168,57.76
79,2.537132704303756,1.5833733142852784,57.69
80,2.5341356102849395,1.575982886314392,57.65
81,2.5298845587863505,1.5539184429168702,58.64
82,2.5308957805096264,1.5560805810928344,58.35
83,2.5286150624291084,1.583372077178955,57.81
84,2.5137569855483637,1.5465038827896118,58.31
85,2.515986669689379,1.563496188545227,58.05
86,2.5133540625761475,1.5366227939605712,58.78
87,2.5149223065712083,1.535255316734314,59.05
88,2.508840764225216,1.5094494373321534,59.6
89,2.5040275962038323,1.5325160346984863,58.53
90,2.502656348230897,1.5385493768692016,58.63
91,2.4957502227128696,1.5358266534805298,59.0
92,2.500338380376447,1.5202353479385375,59.32
93,2.491821681949454,1.5309872077941895,58.86
94,2.489298343963721,1.5139184211730956,59.2
95,2.488713313919634,1.5204280611038208,59.27
96,2.48067689155647,1.4986100690841675,58.81
97,2.486776472511731,1.5336058975219726,59.07
98,2.4768066948110405,1.5113520177841187,58.76
99,2.481278483602057,1.5087000341415406,59.75
100,2.4783859549044953,1.4902468116760255,59.75
101,2.477988244934668,1.5202281917572023,59.12
102,2.476527914042357,1.4978652839660644,59.83
103,2.4622460472446397,1.5290830341339112,58.89
104,2.4669848956768705,1.4850947731018067,60.09
105,2.457187802782437,1.476175305366516,60.42
106,2.4558882453835422,1.4954307615280151,59.48
107,2.4470267695745647,1.5031313358306886,59.14
108,2.4558092128299416,1.4775486637115478,59.94
109,2.4518223318644585,1.5354697734832763,58.87
110,2.45094661706541,1.4817154636383056,60.41
111,2.449714189607569,1.475817151260376,60.06
112,2.443854762863716,1.4622880645751952,60.51
113,2.4495116574510876,1.4797613307952882,60.08
114,2.446234846847769,1.4829972478866578,60.2
115,2.438092865192936,1.4579840585708619,60.8
116,2.4445571588035127,1.4909604046821594,59.84
117,2.427686371052311,1.4898915103912354,59.9
118,2.431885682819137,1.4782199134826661,60.19
119,2.436290683575385,1.4591282488822936,60.14
120,2.4257125497322227,1.4698479932785034,60.57
121,2.4211873493792915,1.470125704574585,60.18
122,2.430230398794753,1.4710700981140137,60.63
123,2.4282013327455703,1.45563733959198,60.54
124,2.4191418530541102,1.4792166975021361,60.03
125,2.4264822403081094,1.456468476676941,60.84
126,2.420448726331684,1.4394587699890136,61.15
127,2.4139449794832784,1.4798102363586425,60.05
128,2.412877580115188,1.443747737121582,60.82
129,2.4108064785199037,1.4468346284866334,60.7
130,2.4076431539391434,1.516099197101593,59.19
131,2.4103823787271597,1.4470481615066528,60.88
132,2.4095580202363975,1.4385913389205933,61.79
133,2.4065191907552994,1.4371048887252809,61.54
134,2.4008908096257304,1.4472082317352295,61.33
135,2.3936266241244564,1.449445492553711,60.59
136,2.396622807817789,1.4317092001914977,61.64
137,2.399601128586734,1.4401134109497071,61.25
138,2.398928582134076,1.431064119529724,61.69
139,2.396079761270677,1.4536247361183166,60.65
140,2.3994709755486014,1.4305013208389281,61.0
141,2.4017044391277964,1.4219105243682861,61.19
142,2.3932696809841945,1.4518868230819701,60.9
143,2.3810119912810577,1.4216880882263183,61.77
144,2.391819618880825,1.421346165084839,61.93
145,2.3888144831956577,1.4156780815124512,61.2
146,2.3799051571441825,1.4314013679504394,61.83
147,2.3781521679039344,1.4323230173110961,61.56
148,2.3898292608969345,1.422252869987488,61.45
149,2.380374540440099,1.416520881462097,62.01
150,2.3873647498718142,1.4133367156982422,61.5
151,2.3696706063005593,1.4211579305648803,61.52
152,2.3803937949535943,1.4852444059371948,59.74
153,2.378405332717944,1.4168914381027222,61.91
154,2.3728929948867816,1.4207654699325563,61.65
155,2.3699332828253086,1.4234866472244263,61.8
156,2.366786911453999,1.4098028477668763,61.8
157,2.3710709210394594,1.4089336645126342,62.19
158,2.368462840817802,1.4136444911956787,61.72
159,2.3707937180766985,1.4131555274963379,61.84
160,2.3645649281415073,1.4023677997589112,62.38
161,2.3651856292377818,1.3979297251701355,62.35
162,2.3708060152552037,1.4229486835479737,61.54
163,2.3636017369247124,1.4074863033294678,61.94
164,2.3537238930923228,1.40872364654541,62.08
165,2.3623505760551873,1.3972347641944884,62.52
166,2.356029767233034,1.4105525150299072,62.2
167,2.350023582558626,1.4034121890068054,62.01
168,2.352827342615848,1.3998207752227783,62.15
169,2.3547108535119423,1.3931795991897582,62.05
170,2.3583661957373234,1.393545062828064,62.47
171,2.348150287028617,1.4065285762786865,61.92
172,2.3541700449246297,1.3974611255645752,62.02
173,2.3549059241743002,1.3859515455245972,62.3
174,2.3521070272760722,1.390801148223877,62.34
175,2.3524687279507077,1.3898243885040282,62.77
176,2.341726081166774,1.3958838247299195,62.07
177,2.3475474485514565,1.3948523849487304,62.47
178,2.3506481934448518,1.3863301704406739,62.71
179,2.3445205099298767,1.4013025668144226,62.6
